Date,ModelYear,Month,Day,Rainfall_mm,EnsembleMember
2032-04-27,2032,4,27,5.4789187e-05,01
2032-04-28,2032,4,28,0.00012516476,01
2032-04-29,2032,4,29,2.4245432e-05,01
2032-04-30,2032,4,30,2.28513e-05,01
2032-05-01,2032,5,1,2.1855707e-05,01
2032-05-02,2032,5,2,1.8705445e-05,01
2032-05-03,2032,5,3,2.7507022e-05,01
2032-05-04,2032,5,4,4.8927843e-05,01
2032-05-05,2032,5,5,5.771525e-06,01
2032-05-06,2032,5,6,9.768774e-06,01
2032-05-07,2032,5,7,9.07911,01
2032-05-08,2032,5,8,15.611039,01
2032-05-09,2032,5,9,0.885727,01
2032-05-10,2032,5,10,13.903163,01
2032-05-11,2032,5,11,3.440033,01
2032-05-12,2032,5,12,14.034595,01
2032-05-13,2032,5,13,0.012085452,01
2032-05-14,2032,5,14,0.0022548873,01
2032-05-15,2032,5,15,4.891716,01
2032-05-16,2032,5,16,0.00329286,01
2032-05-17,2032,5,17,2.854036,01
2032-05-18,2032,5,18,14.542247,01
2032-05-19,2032,5,19,5.8904657,01
2032-05-20,2032,5,20,0.58909374,01
2032-05-21,2032,5,21,0.5827215,01
2032-05-22,2032,5,22,22.674742,01
2032-05-23,2032,5,23,4.840375,01
2032-05-24,2032,5,24,5.7666574,01
2032-05-25,2032,5,25,6.4864798,01
2032-05-26,2032,5,26,6.597261e-05,01
2032-05-27,2032,5,27,8.04212e-05,01
2032-05-28,2032,5,28,0.24421082,01
2032-05-29,2032,5,29,0.40136787,01
2032-05-30,2032,5,30,1.058564,01
2032-06-01,2032,6,1,2.895642,01
2032-06-02,2032,6,2,0.0019733324,01
2032-06-03,2032,6,3,2.7031729e-05,01
2032-06-04,2032,6,4,1.9573033,01
2032-06-05,2032,6,5,5.8905163,01
2032-06-06,2032,6,6,11.281893,01
2032-06-07,2032,6,7,2.8758948,01
2032-06-08,2032,6,8,1.8846676,01
2032-06-09,2032,6,9,5.199076,01
2032-06-10,2032,6,10,0.0010191698,01
2032-06-11,2032,6,11,0.0009487983,01
2032-06-12,2032,6,12,5.6034392e-11,01
2032-06-13,2032,6,13,0.14330682,01
2032-06-14,2032,6,14,4.3181888e-05,01
2032-06-15,2032,6,15,0.8718305,01
2032-06-16,2032,6,16,5.603649,01
2032-06-17,2032,6,17,2.0661047,01
2032-06-18,2032,6,18,2.2649436,01
2032-06-19,2032,6,19,8.815625,01
2032-06-20,2032,6,20,0.14043427,01
2032-06-21,2032,6,21,0.99652123,01
2032-06-22,2032,6,22,6.3481064e-05,01
2032-06-23,2032,6,23,0.4263583,01
2032-06-24,2032,6,24,2.347476,01
2032-06-25,2032,6,25,2.2811286e-05,01
2032-06-26,2032,6,26,2.526299e-05,01
2032-06-27,2032,6,27,1.4095431e-06,01
2032-06-28,2032,6,28,1.6872582e-06,01
2032-06-29,2032,6,29,1.0055634e-05,01
2032-06-30,2032,6,30,9.717652e-06,01
2032-07-01,2032,7,1,1.4264008e-05,01
2032-07-02,2032,7,2,7.979425e-06,01
2032-07-03,2032,7,3,3.8062088e-05,01
2032-07-04,2032,7,4,1.3345506e-05,01
2032-07-05,2032,7,5,7.4944796e-06,01
2032-07-06,2032,7,6,7.6382025e-07,01
2032-07-07,2032,7,7,2.4141302e-06,01
2032-07-08,2032,7,8,3.99617e-06,01
2032-07-09,2032,7,9,0.0,01
2032-07-10,2032,7,10,2.0623452e-06,01
2032-07-11,2032,7,11,9.038431e-05,01
2032-07-12,2032,7,12,3.3493097e-06,01
2032-07-13,2032,7,13,7.218038e-07,01
2032-07-14,2032,7,14,3.1376202e-09,01
2032-07-15,2032,7,15,8.003457e-06,01
2032-07-16,2032,7,16,0.0,01
2032-07-17,2032,7,17,0.0,01
2032-07-18,2032,7,18,0.0,01
2032-07-19,2032,7,19,0.00011956918,01
2032-07-20,2032,7,20,0.023518087,01
2032-07-21,2032,7,21,1.1059352,01
2032-07-22,2032,7,22,0.26376605,01
