DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
292,3.7,,,Yes,,16.32,,,,Yes
293,2.3,,,Yes,,5.46,,,,Yes
294,1.6,,Yes,,,2.6,,,Yes,
295,1.4,,Yes,,,3.68,,,Yes,
296,1.1,,Yes,,,6.74,,,,Yes
297,0.8,Yes,,,,2.72,,,Yes,
298,2.0,,Yes,Yes,,0.4,Yes,,,
299,1.2,,Yes,,,0.46,Yes,,,
300,1.8,,Yes,,,0.2,Yes,,,
301,1.1,,Yes,,,2.92,,,Yes,
302,1.1,,Yes,,,1.12,,Yes,,
303,1.7,,Yes,,,3.14,,,Yes,
304,1.9,,Yes,,,4.1,,,Yes,
305,2.4,,,Yes,,4.12,,,Yes,
306,2.8,,,Yes,,3.08,,,Yes,
307,1.3,,Yes,,,1.46,,Yes,,
308,0.8,Yes,,,,0.26,Yes,,,
309,1.3,,Yes,,,0.42,Yes,,,
310,1.7,,Yes,,,1,,Yes,,
311,2.1,,,Yes,,2.9,,,Yes,
312,1.6,,Yes,,,1.7,,Yes,,
313,1.4,,Yes,,,3.52,,,Yes,
314,1.2,,Yes,,,3.94,,,Yes,
315,1.7,,Yes,,,2.5,,,Yes,
316,0.7,Yes,,,,4.44,,,Yes,
317,2.8,,,Yes,,3.3,,,Yes,
318,2.2,,,Yes,,12.96,,,,Yes
319,1.3,,Yes,,,1.7,,Yes,,
320,1.9,,Yes,,,3.6,,,Yes,
321,2.8,,,Yes,,1.86,,Yes,,
322,2.4,,,Yes,,0.42,Yes,,,
323,2.4,,,Yes,,5.98,,,,Yes
324,3.0,,,Yes,,0.38,Yes,,,
325,1.7,,Yes,,,2.38,,,Yes,
326,1.2,,Yes,,,4.74,,,Yes,
327,1.4,,Yes,,,3.52,,,Yes,
328,1.4,,Yes,,,2.78,,,Yes,
329,0.9,Yes,,,,5.86,,,,Yes
330,1.7,,Yes,,,4.3,,,Yes,
331,1.5,,Yes,,,2.16,,,Yes,
332,2.3,,,Yes,,0.32,Yes,,,
333,1.9,,Yes,,,4.86,,,Yes,
334,1.3,,Yes,,,0.22,Yes,,,
335,2.5,,,Yes,,3.78,,,Yes,
336,1.3,,Yes,,,2.76,,,Yes,
337,1.3,,Yes,,,2.44,,,Yes,
338,1.1,,Yes,,,5.42,,,,Yes
339,1.6,,Yes,,,4.34,,,Yes,
340,1.6,,Yes,,,3.1,,,Yes,
341,3.0,,,Yes,,5.16,,,,Yes
342,2.0,,Yes,Yes,,3.28,,,Yes,
343,3.5,,,Yes,,5.94,,,,Yes
344,2.7,,,Yes,,0.16,Yes,,,
345,2.1,,,Yes,,2.88,,,Yes,
346,2.3,,,Yes,,1.46,,Yes,,
347,3.0,,,Yes,,0.32,Yes,,,
348,1.9,,Yes,,,0.36,Yes,,,
349,1.8,,Yes,,,2.8,,,Yes,
350,1.7,,Yes,,,1.8,,Yes,,
351,1.2,,Yes,,,0.6,Yes,,,
352,2.6,,,Yes,,11.22,,,,Yes
353,2.3,,,Yes,,5.22,,,,Yes
354,2.5,,,Yes,,0.02,Yes,,,
355,2.0,,Yes,Yes,,1.26,,Yes,,
356,1.6,,Yes,,,2.86,,,Yes,
357,2.3,,,Yes,,0.42,Yes,,,
358,1.6,,Yes,,,3.66,,,Yes,
359,2.2,,,Yes,,4.14,,,Yes,
360,1.2,,Yes,,,1.04,,Yes,,
361,1.8,,Yes,,,2.5,,,Yes,
362,1.6,,Yes,,,2.24,,,Yes,
363,2.5,,,Yes,,1.16,,Yes,,
364,1.9,,Yes,,,6.1,,,,Yes
365,2.1,,,Yes,,2.6,,,Yes,
