DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
320,6.6,,,Yes,,6.1,,,Yes,
321,6.5,,,Yes,,4.9,,Yes,,
322,4.7,,Yes,,,4.9,,Yes,,
323,5.0,,,Yes,,7.4,,,Yes,
324,4.0,,Yes,,,9.9,,,Yes,
325,3.0,,Yes,,,7.8,,,Yes,
326,3.2,,Yes,,,6.8,,,Yes,
327,4.9,,Yes,,,3.5,,Yes,,
328,3.3,,Yes,,,13.2,,,,Yes
329,3.5,,Yes,,,3.5,,Yes,,
330,3.2,,Yes,,,8.1,,,Yes,
331,4.3,,Yes,,,3.8,,Yes,,
332,7.7,,,Yes,,2.1,,Yes,,
333,7.2,,,Yes,,1.2,,Yes,,
334,5.1,,,Yes,,2.4,,Yes,,
335,7.4,,,Yes,,7.9,,,Yes,
336,5.7,,,Yes,,2.8,,Yes,,
337,5.2,,,Yes,,9.7,,,Yes,
338,5.3,,,Yes,,8.8,,,Yes,
339,6.0,,,Yes,,7.8,,,Yes,
340,4.5,,Yes,,,8.5,,,Yes,
341,7.9,,,Yes,,7.7,,,Yes,
342,5.7,,,Yes,,7.1,,,Yes,
343,5.0,,Yes,,,3.4,,Yes,,
344,5.2,,,Yes,,9.0,,,Yes,
345,6.6,,,Yes,,3.6,,Yes,,
346,6.4,,,Yes,,4.4,,Yes,,
347,4.4,,Yes,,,2.1,,Yes,,
348,5.1,,,Yes,,2.3,,Yes,,
349,5.1,,,Yes,,0.6,Yes,,,
350,4.1,,Yes,,,9.0,,,Yes,
351,3.7,,Yes,,,2.3,,Yes,,
352,5.3,,,Yes,,14.9,,,,Yes
353,4.1,,Yes,,,14.5,,,,Yes
354,3.6,,Yes,,,1.7,,Yes,,
355,4.7,,Yes,,,5.0,,Yes,,
356,5.5,,,Yes,,7.2,,,Yes,
357,6.1,,,Yes,,4.5,,Yes,,
358,7.9,,,Yes,,6.5,,,Yes,
359,4.3,,Yes,,,5.1,,,Yes,
360,5.3,,,Yes,,6.6,,,Yes,
361,3.2,,Yes,,,15.6,,,,Yes
362,5.9,,,Yes,,7.5,,,Yes,
363,4.9,,Yes,,,11.7,,,,Yes
364,4.5,,Yes,,,7.8,,,Yes,
365,3.7,,Yes,,,5.1,,,Yes,
