Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
217,15.5,10.5,1029.4,5.0,-1585.6,-1980.8,-1328.0
218,15.3,10.3,1039.7,2.4,-1591.2,-1982.4,-1331.6
219,15.2,10.2,1049.8,3.1,-1596.1,-1988.0,-1342.1
220,15.1,10.1,1060.0,4.3,-1597.0,-1996.4,-1338.4
221,15.4,10.4,1070.3,3.8,-1599.2,-2012.0,-1333.2
222,15.3,10.3,1080.6,3.8,-1602.2,-2026.2,-1335.0
223,15.4,10.4,1091.0,2.5,-1609.2,-2038.1,-1340.4
224,15.5,10.5,1101.4,2.3,-1614.2,-2046.9,-1345.7
225,15.6,10.6,1112.1,5.2,-1615.9,-2056.4,-1368.5
226,15.5,10.5,1122.5,3.5,-1619.1,-2064.0,-1379.5
227,15.5,10.5,1133.0,4.8,-1621.4,-2079.3,-1400.3
228,15.0,10.0,1143.1,5.0,-1623.1,-2099.3,-1411.1
229,15.0,10.0,1153.0,2.3,-1626.0,-2109.3,-1411.7
230,15.0,10.0,1163.0,2.4,-1630.1,-2117.0,-1413.5
231,15.6,10.6,1173.5,2.2,-1634.9,-2128.0,-1418.2
232,15.2,10.2,1183.7,2.5,-1637.4,-2130.5,-1423.8
233,15.4,10.4,1194.2,4.6,-1638.7,-2140.1,-1409.9
234,15.4,10.4,1204.7,2.3,-1643.2,-2144.4,-1408.5
235,15.1,10.1,1214.8,2.0,-1645.9,-2153.8,-1401.0
236,15.4,10.4,1225.2,1.4,-1651.5,-2156.1,-1410.8
237,15.1,10.1,1235.3,3.0,-1653.0,-2157.0,-1406.7
238,15.2,10.2,1245.5,1.8,-1656.6,-2160.0,-1405.8
239,15.5,10.5,1256.0,1.5,-1660.5,-2163.9,-1407.7
240,15.4,10.4,1266.3,1.5,-1662.9,-2171.3,-1409.9
241,15.2,10.2,1276.5,1.7,-1664.6,-2169.6,-1399.3
242,14.7,9.7,1286.2,2.5,-1663.8,-2171.4,-1393.5
243,14.7,9.7,1295.8,2.2,-1664.5,-2163.2,-1391.1
244,14.8,9.8,1305.7,3.4,-1664.7,-2158.6,-1382.6
245,14.7,9.7,1315.4,3.5,-1662.7,-2150.8,-1379.0
246,14.5,9.5,1324.9,2.6,-1662.1,-2136.7,-1373.3
247,14.0,9.0,1333.9,5.2,-1658.0,-2128.7,-1350.2
248,14.3,9.3,1343.2,2.5,-1656.7,-2113.2,-1342.3
249,14.4,9.4,1352.5,2.1,-1656.1,-2097.2,-1333.4
250,14.3,9.3,1361.9,2.5,-1654.5,-2074.0,-1332.9
251,14.4,9.4,1371.3,3.0,-1652.9,-2043.7,-1329.2
252,14.0,9.0,1380.3,3.0,-1651.1,-2023.3,-1322.6
253,14.1,9.1,1389.4,4.3,-1647.1,-1978.9,-1311.4
254,14.0,9.0,1398.3,3.8,-1642.8,-1951.8,-1299.4
255,13.7,8.7,1407.0,3.5,-1639.4,-1927.1,-1287.1
256,13.5,8.5,1415.6,4.8,-1634.0,-1902.2,-1272.0
257,13.4,8.4,1423.9,5.1,-1629.3,-1899.2,-1266.3
258,13.7,8.7,1432.7,2.3,-1626.8,-1887.8,-1255.8
259,13.6,8.6,1441.4,2.9,-1623.7,-1861.1,-1261.3
260,13.2,8.2,1449.6,4.1,-1617.0,-1855.0,-1260.5
261,13.3,8.3,1457.9,3.9,-1610.6,-1845.9,-1251.3
262,13.3,8.3,1466.1,2.4,-1604.3,-1836.2,-1255.0
263,13.1,8.1,1474.2,3.1,-1599.1,-1820.1,-1249.7
264,13.0,8.0,1482.2,2.9,-1594.4,-1809.2,-1263.3
265,12.8,7.8,1489.9,3.0,-1587.7,-1796.5,-1258.8
266,13.0,8.0,1497.9,3.7,-1582.0,-1776.7,-1251.3
267,13.1,8.1,1506.0,8.3,-1571.0,-1770.7,-1252.5
