Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
265,13.8,8.8,1697.2,0.9,-1823.8,-2067.3,-1500.6
266,13.8,8.8,1706.0,1.4,-1816.8,-2052.4,-1490.9
267,14.0,9.0,1715.0,1.1,-1809.7,-2039.9,-1475.5
268,13.8,8.8,1723.9,3.9,-1801.1,-2023.9,-1467.9
269,13.7,8.7,1732.5,2.8,-1793.2,-2005.9,-1457.4
270,13.6,8.6,1741.2,1.9,-1785.2,-1996.0,-1448.4
271,13.5,8.5,1749.6,1.8,-1777.7,-1987.5,-1456.7
272,13.1,8.1,1757.7,3.3,-1768.0,-1969.3,-1454.7
273,13.2,8.2,1765.9,2.0,-1759.3,-1967.1,-1454.3
274,12.9,7.9,1773.8,1.8,-1753.5,-1959.7,-1447.3
275,12.4,7.4,1781.2,1.5,-1745.5,-1947.5,-1445.7
276,12.6,7.6,1788.8,2.3,-1737.2,-1929.5,-1452.2
277,13.1,8.1,1796.8,1.3,-1729.6,-1918.7,-1437.8
278,12.8,7.8,1804.7,1.0,-1724.8,-1900.8,-1425.4
279,12.6,7.6,1812.3,2.7,-1715.6,-1887.7,-1394.0
280,12.8,7.8,1820.2,1.8,-1707.6,-1877.0,-1375.1
281,12.3,7.3,1827.4,1.4,-1699.2,-1869.6,-1364.4
282,12.6,7.6,1835.1,3.1,-1688.8,-1859.4,-1355.3
283,12.4,7.4,1842.5,2.4,-1677.9,-1846.0,-1341.2
284,11.8,6.8,1849.3,0.8,-1667.3,-1836.9,-1322.8
285,11.5,6.5,1855.9,1.5,-1656.8,-1829.0,-1309.8
286,11.1,6.1,1861.9,2.2,-1644.9,-1824.1,-1291.4
287,10.5,5.5,1867.4,1.4,-1632.0,-1810.9,-1267.5
288,10.9,5.9,1873.3,2.2,-1620.6,-1800.3,-1234.8
289,10.4,5.4,1878.8,3.1,-1605.9,-1787.0,-1217.6
290,10.7,5.7,1884.4,1.1,-1595.5,-1775.5,-1206.1
291,10.7,5.7,1890.1,1.5,-1583.7,-1760.4,-1190.2
292,11.1,6.1,1896.2,3.7,-1569.9,-1747.0,-1172.3
293,11.2,6.2,1902.4,2.3,-1558.3,-1738.6,-1155.3
294,10.6,5.6,1908.0,1.6,-1546.1,-1726.6,-1134.4
295,10.3,5.3,1913.4,1.4,-1534.9,-1703.8,-1120.0
296,9.9,4.9,1918.4,1.1,-1522.5,-1682.7,-1098.8
297,10.3,5.3,1923.7,0.8,-1512.0,-1672.6,-1104.2
298,10.1,5.1,1928.8,2.0,-1498.4,-1665.9,-1092.6
299,10.2,5.2,1934.0,1.2,-1484.8,-1658.9,-1087.0
300,10.4,5.4,1939.3,1.8,-1470.8,-1656.2,-1081.6
301,9.7,4.7,1944.0,1.1,-1458.0,-1647.2,-1067.4
302,8.7,3.7,1947.7,1.1,-1444.3,-1640.4,-1050.2
303,9.0,4.1,1951.8,1.7,-1430.8,-1621.2,-1034.3
304,9.9,4.9,1956.7,1.9,-1418.9,-1617.7,-1028.2
305,9.9,5.0,1961.8,2.4,-1407.6,-1607.0,-1023.5
306,9.4,4.5,1966.3,2.8,-1393.0,-1601.4,-1012.5
307,8.9,4.1,1970.4,1.3,-1380.9,-1593.9,-1013.0
308,7.8,3.1,1973.5,0.8,-1366.0,-1577.7,-1004.1
309,7.8,2.9,1976.4,1.3,-1350.4,-1569.7,-996.4
310,7.4,2.7,1979.1,1.7,-1332.7,-1556.9,-983.4
311,8.2,3.3,1982.2,2.1,-1317.4,-1550.9,-972.4
312,8.4,3.7,1985.9,1.6,-1303.6,-1543.9,-964.9
313,8.1,3.2,1989.2,1.4,-1289.7,-1520.1,-959.3
